,job_simp,seniority,Avg,Upper_salary,Lower_salary,Employer_provided,Glassdoor_estimate,Location,Rating,Size,Type of ownership,Industry,Sector,Revenue,Age,Python_yn,R_yn,spark,aws,excel,SQL,ML,NLP,Visualisation
829,analyst,na,7.5,8.0,7.0,1,0,Pune,2.8,201 to 500 employees,Company - Private,Food & Beverage Manufacturing,Manufacturing,-1,23,0,0,0,0,0,1,0,0,0
830,analyst,na,7.0,9.0,5.0,0,1,Hyderabad,4.6,1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,₹25 to ₹50 million (INR),5,1,0,0,1,1,1,0,0,1
831,analyst,na,11.5,15.0,8.0,0,1,Bengaluru,4.2,5001 to 10000 employees,College / University,Colleges & Universities,Education,-1,-1,1,0,0,0,0,0,1,0,0
832,analyst,na,5.0,6.0,4.0,1,0,Hyderabad,3.8,51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,₹10 to ₹25 million (INR),12,0,0,0,0,1,1,1,0,0
833,analyst,senior,9.0,11.0,7.0,0,1,Bengaluru,3.5,51 to 200 employees,Company - Private,IT Services,Information Technology,₹10 to ₹25 million (INR),26,0,0,0,0,0,1,0,0,1
834,analyst,na,7.0,9.0,5.0,0,0,Chennai,3.1,201 to 500 employees,Company - Public,IT Services,Information Technology,₹10 to ₹25 million (INR),26,1,0,1,0,1,1,1,0,1
835,analyst,na,7.5,8.0,7.0,1,0,Pune,3.3,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,₹1 to ₹2 billion (INR),58,0,0,0,0,1,1,0,0,0
836,analyst,senior,7.5,10.0,5.0,1,0,Hyderabad,4.0,1 to 50 employees,Company - Private,Accounting,Accounting & Legal,Less than ₹1 million (INR),-1,0,0,0,0,1,0,0,0,0
837,analyst,na,5.0,6.0,4.0,0,0,Delhi NCR,4.3,10000+ employees,College / University,Colleges & Universities,Education,₹1 to ₹2 billion (INR),169,1,0,0,0,1,1,0,0,0
838,analyst,na,8.5,11.0,6.0,0,1,Pune,3.6,10000+ employees,Company - Public,Investment Banking & Asset Management,Finance,₹5 to ₹10 billion (INR),49,0,0,0,0,0,1,1,0,1
839,analyst,senior,7.0,9.0,5.0,1,0,Hyderabad,3.2,10000+ employees,Company - Private,Transportation Management,Transportation & Logistics,₹5 to ₹10 billion (INR),27,1,1,0,0,1,1,0,0,1
840,analyst,na,8.5,11.0,6.0,0,1,Pune,3.2,5001 to 10000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,₹500 million to ₹1 billion (INR),28,0,0,0,0,0,1,0,0,0
841,analyst,na,5.0,6.0,4.0,1,0,Hyderabad,3.6,501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,5,0,0,0,0,0,1,1,0,1
842,analyst,senior,13.0,14.0,12.0,1,0,Chennai,4.2,201 to 500 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,₹100 to ₹500 million (INR),23,0,1,0,0,0,0,0,0,1
843,analyst,na,8.5,11.0,6.0,0,1,Bengaluru,3.9,10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,₹2 to ₹5 billion (INR),65,0,0,0,1,0,0,0,0,0
844,analyst,na,9.0,11.0,7.0,1,0,Bengaluru,4.0,1 to 50 employees,Company - Private,Accounting,Accounting & Legal,Less than ₹1 million (INR),-1,0,0,0,0,0,1,0,0,0
845,analyst,na,14.5,18.0,11.0,1,0,Bengaluru,-1.0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,0,1
846,analyst,na,8.5,11.0,6.0,0,0,Bengaluru,3.4,501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services,-1,-1,1,0,0,0,1,0,0,0,1
847,analyst,na,4.5,6.0,3.0,0,1,Mumbai,3.4,51 to 200 employees,Company - Private,IT Services,Information Technology,₹5 to ₹10 million (INR),21,0,0,0,0,0,0,0,0,0
848,analyst,na,7.5,9.0,6.0,0,0,Chennai,2.8,1001 to 5000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,₹5 to ₹10 billion (INR),87,1,0,0,0,1,1,0,0,0
849,analyst,na,7.0,9.0,5.0,1,0,Pune,3.9,51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,₹100 to ₹500 million (INR),22,0,0,0,0,0,1,0,0,1
850,analyst,na,12.0,15.0,9.0,0,1,Chennai,3.4,51 to 200 employees,Company - Private,Consulting,Business Services,₹10 to ₹25 million (INR),-1,0,0,0,0,0,1,1,0,0
851,analyst,senior,13.0,14.0,12.0,1,0,Mumbai,2.8,1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,Finance,₹5 to ₹10 billion (INR),22,0,0,0,0,1,0,0,0,0
852,analyst,na,4.5,6.0,3.0,0,1,Delhi NCR,3.6,1 to 50 employees,Company - Public,-1,-1,₹100 to ₹500 million (INR),-1,0,0,0,0,1,1,0,0,0
853,analyst,na,5.5,7.0,4.0,1,0,Delhi NCR,3.5,1001 to 5000 employees,Company - Public,Energy,"Oil, Gas, Energy & Utilities",₹50 to ₹100 million (INR),11,0,0,0,1,1,1,0,0,0
854,analyst,na,6.5,8.0,5.0,1,0,Bengaluru,-1.0,-1,Company - Public,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
855,analyst,na,8.5,11.0,6.0,1,0,Pune,-1.0,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0
856,analyst,na,8.0,10.0,6.0,1,0,Chennai,3.8,10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,₹10+ billion (INR),54,0,0,0,0,0,1,0,0,0
857,analyst,senior,9.0,11.0,7.0,0,0,Bengaluru,3.7,501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹50 to ₹100 million (INR),8,0,0,0,0,1,1,1,0,0
858,analyst,senior,10.0,13.0,7.0,1,0,Mumbai,4.1,201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,-1,10,1,1,0,0,1,1,0,0,0
859,analyst,na,7.5,9.0,6.0,0,1,Chennai,-1.0,1 to 50 employees,Other Organization,-1,-1,-1,-1,0,0,0,0,1,1,0,0,0
860,analyst,senior,6.5,8.0,5.0,1,0,Pune,3.9,51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,₹100 to ₹500 million (INR),22,1,0,0,0,0,1,0,0,1
861,data scientist,na,16.5,21.0,12.0,1,0,Bengaluru,5.0,1 to 50 employees,Company - Private,Internet,Information Technology,-1,6,1,0,0,0,0,1,1,0,1
862,analyst,na,9.5,11.0,8.0,1,0,Pune,4.0,201 to 500 employees,Private Practice / Firm,Legal,Accounting & Legal,-1,22,0,0,0,0,1,0,0,0,0
863,analyst,senior,8.0,11.0,5.0,0,1,Mumbai,3.3,1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance,₹2 to ₹5 billion (INR),204,0,0,0,0,1,0,0,0,0
864,analyst,na,7.5,10.0,5.0,0,1,Hyderabad,-1.0,1 to 50 employees,Company - Private,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0
865,analyst,senior,5.5,7.0,4.0,0,1,Bengaluru,2.8,1 to 50 employees,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",Less than ₹1 million (INR),-1,0,0,0,0,1,1,0,0,0
866,analyst,na,8.0,10.0,6.0,0,1,Mumbai,3.8,501 to 1000 employees,Company - Private,Consulting,Business Services,-1,-1,0,0,0,0,0,0,0,0,0
867,data engineer,na,8.5,11.0,6.0,0,1,Delhi NCR,4.1,10000+ employees,Company - Private,IT Services,Information Technology,₹500 million to ₹1 billion (INR),31,0,0,1,1,0,1,0,0,1
868,analyst,na,4.5,5.0,4.0,0,1,Hyderabad,3.8,201 to 500 employees,Company - Private,Accounting,Accounting & Legal,₹10 to ₹25 million (INR),26,0,0,0,0,0,1,0,0,0
869,analyst,na,15.0,19.0,11.0,1,0,Bengaluru,3.2,201 to 500 employees,Company - Private,IT Services,Information Technology,₹25 to ₹50 million (INR),22,0,0,0,0,1,0,1,0,0
870,analyst,na,9.71875,12.25,7.1875,0,0,Bengaluru,5.0,51 to 200 employees,Company - Private,IT Services,Information Technology,₹50 to ₹100 million (INR),14,0,0,0,0,1,1,0,0,0
871,analyst,na,6.5,8.0,5.0,0,0,Hyderabad,-1.0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
872,analyst,na,7.0,9.0,5.0,0,1,Pune,3.6,51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,₹10 to ₹25 million (INR),-1,0,0,0,0,0,0,0,0,0
873,analyst,na,7.5,8.0,7.0,0,0,Pune,3.8,1001 to 5000 employees,Private Practice / Firm,Investment Banking & Asset Management,Finance,-1,23,0,0,0,0,1,0,0,0,0
874,analyst,na,9.5,12.0,7.0,1,0,Bengaluru,3.6,51 to 200 employees,Company - Private,IT Services,Information Technology,-1,8,1,0,0,1,1,1,0,0,1
875,analyst,senior,8.0,11.0,5.0,0,1,Pune,3.4,10000+ employees,Company - Public,Insurance Carriers,Insurance,₹5 to ₹10 billion (INR),133,0,0,0,0,1,0,0,0,0
876,analyst,na,9.5,12.0,7.0,1,0,Bengaluru,2.3,501 to 1000 employees,Company - Private,Beauty & Personal Accessories Stores,Retail,-1,20,0,0,0,0,1,0,0,0,0
877,analyst,senior,15.0,16.0,14.0,0,0,Bengaluru,3.1,10000+ employees,Company - Public,Insurance Carriers,Insurance,₹10+ billion (INR),42,0,0,0,0,1,1,0,0,1
878,analyst,na,7.5,10.0,5.0,1,0,Hyderabad,3.4,5001 to 10000 employees,Company - Private,Staffing & Outsourcing,Business Services,₹100 to ₹500 million (INR),26,0,0,0,0,0,0,0,0,1
879,analyst,jr,9.0,10.0,8.0,0,0,Bengaluru,3.8,51 to 200 employees,Company - Private,Consulting,Business Services,₹5 to ₹10 million (INR),-1,0,0,0,1,0,1,0,0,0
880,analyst,na,8.0,11.0,5.0,1,0,Pune,3.7,1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,-1,108,0,0,0,0,0,0,0,0,0
