,job_simp,seniority,Avg,Upper_salary,Lower_salary,Employer_provided,Glassdoor_estimate,Location,Rating,Size,Type of ownership,Industry,Sector,Revenue,Age,Python_yn,R_yn,spark,aws,excel,SQL,ML,NLP,Visualisation
711,analyst,na,8.0,10.0,6.0,0,1,Chennai,4.1,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹25 to ₹50 million (INR),23,0,0,0,0,0,1,0,0,0
712,analyst,na,14.5,18.0,11.0,0,1,Bengaluru,3.8,501 to 1000 employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,₹100 to ₹500 million (INR),34,1,0,0,0,0,0,0,0,0
713,analyst,na,10.0,13.0,7.0,0,1,Chennai,4.7,1 to 50 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),14,1,0,0,0,1,1,0,0,0
714,analyst,senior,11.0,14.0,8.0,1,0,Bengaluru,3.9,1 to 50 employees,Company - Private,Consulting,Business Services,₹1 to ₹5 million (INR),14,0,0,0,0,1,1,1,0,1
715,analyst,senior,15.0,16.0,14.0,1,0,Bengaluru,3.1,10000+ employees,Company - Public,Insurance Carriers,Insurance,₹10+ billion (INR),42,0,0,0,0,1,0,0,0,0
716,analyst,senior,6.0,8.0,4.0,0,0,Hyderabad,4.5,1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,₹100 to ₹500 million (INR),6,1,0,0,0,1,1,1,0,1
717,analyst,na,8.5,11.0,6.0,1,0,Bengaluru,3.3,501 to 1000 employees,Company - Private,Consulting,Business Services,₹500 million to ₹1 billion (INR),20,0,0,0,0,1,0,0,0,0
718,analyst,na,6.0,8.0,4.0,0,0,Bengaluru,3.1,501 to 1000 employees,Nonprofit Organization,Consulting,Business Services,₹50 to ₹100 million (INR),49,0,0,0,0,0,1,0,0,0
719,analyst,na,6.0,8.0,4.0,1,0,Hyderabad,3.7,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,₹100 to ₹500 million (INR),14,0,0,0,0,0,1,0,0,1
720,analyst,na,7.0,9.0,5.0,0,1,Hyderabad,4.0,501 to 1000 employees,Company - Private,IT Services,Information Technology,₹50 to ₹100 million (INR),12,0,0,0,0,1,0,0,0,0
